,AUTOPAY,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,,AUTOPAY,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025
,HAMSHIRE,46%,48%,54%,53%,54%,55%,55%,71%,78%,78%,77%,77%,,HAMSHIRE,-,-,-,-,-,-,-,-,-,-,-,-
,MT HOLLY,-,-,-,111%,54%,85.53%,85%,83%,84%,84%,87%,86%,,MT HOLLY,-,-,-,-,-,-,-,-,-,-,-,-

,INSURANCE,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,,INSURANCE,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025
,HAMSHIRE,38%,49%,54%,93%,90%,90%,90%,80%,76%,73%,73%,66%,,HAMSHIRE,64%,63%,71%,69%,71%,68%,65%,60%,62%,64%,62%,61%
,MT HOLLY,,,,32%,71%,42.11%,17%,22%,66%,63%,59%,59%,,MT HOLLY,7%,0%,,0%,0%,,0%,,0%, ,0%,0%

,REVENUE PER SQ FT,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,,REVENUE PER SQ FT,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025
,HAMSHIRE,$0.58 ,$0.57 ,$0.56 ,$0.62 ,$0.00 ,$0.00 ,$0.00 ,$0.57 ,$0.49 ,$0.50 ,$0.52 ,$0.52 ,,HAMSHIRE,$0.63 ,$0.61 ,$0.74 ,$0.72 ,$0.70 ,$0.73 ,$0.70 ,$0.00 ,$0.68 ,$0.72 ,$0.77 ,$0.59 
,MT HOLLY,$0.00 ,$1.00 ,$2.11 ,$1.04 ,$0.00 ,$0.95 ,$0.92 ,$0.87 ,$0.98 ,$0.98 ,$0.88 ,$0.93 ,,MT HOLLY,$0.91 ,$0.94 ,$0.99 ,$0.99 ,$0.97,$1.00 ,,,$0.89 ,$0.89 ,$0.89 ,$0.89 

,MOVE IN/ MOVE OUT,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,,MOVE IN/ MOVE OUT,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025
,HAMSHIRE,,,,,,,,,,,,,,HAMSHIRE,1.00,2.25,0.45,0.90,1.17,1.50,1.43,4.33,1.80,2.00,1.13
,Move in,6,6,7,7,12,13,15,15,10,19,10,9,129,Move in,10,9,5,9,7,6,10,13,9,12,9,6,105
,Move out,9,3,11,6,16,8,2,9,6,6,4,4,84,Move out,10,4,11,10,6,4,7,3,5,6,8,2,76
,Net Move,-3,3,-4,1,-4,5,13,6,4,13,6,5,1.535714286,Net Move,0,5,-6,-1,1,2,3,10,4,6,1,4,1.381578947
,MOVE IN/ MOVE OUT,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,,MT HOLLY
,MT HOLLY,0,0,10,10,23,43,34,39,18,16,16,18,227,Move in,16,14,14,22,22,18,22,28,23,13,20,4,216
,Move in,0,0,0,1,3,6,1,7,6,5,6,15,50,Move out,13,11,7,16,11,17,10,11,17,9,14,5,141
,Move out,0,0,10,9,20,37,33,32,12,11,10,3,4.54,Net Move,3,3,7,6,11,1,12,17,6,4,6,-1,1.531914894
,Net Move,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,,RETHINK
,MOVE IN/ MOVE OUT,6,6,17,17,35,56,49,54,28,35,26,27,,Move in,26,23,19,31,29,24,32,41,32,25,29,10,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
,RETHINK,9,3,11,7,19,14,3,16,12,11,10,19,,Move out,23,15,18,26,17,21,17,14,22,15,22,7
,Move in,-3,3,6,10,16,42,46,38,16,24,16,8,,Net Move,3,8,1,5,12,3,15,27,10,10,7,3
,Move out
,Net Move,,,,,,,,,,,,,,MARKETING KPIS,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024
,,,,,,,,,,,,,,,MARKETING
,,,,,,,,,,,,,,,TOTAL SPEND
,,,,,,,,,,,,,,,CLICK THROUGH RATE (CTR)
,MARKETING KPIS,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,,WEBSITE CONVERSION RATE
,MARKETING,,,,,,,,,,,,,,CALL CENTER CONVERSION RATE
,TOTAL SPEND,,,,,,,,,,,,,,PAY PER CLICK (PPC)
,CLICK THROUGH RATE (CTR),,,,,,,,,,,,,,WEBSITE VISITS
,WEBSITE CONVERSION RATE,,,,,,,,,,,,,,CALL CENTER CALLS 
,CALL CENTER CONVERSION RATE,,,,,,,,,,,,,,WALK-INS 
,PAY PER CLICK (PPC),,,,,,,,,,,,,,SPARE FOOT
,WEBSITE VISITS,,,,,,,,,,,,,,GOOGLE ADS
,CALL CENTER CALLS 
,WALK-INS 
,SPARE FOOT
,GOOGLE ADS



,,,,,,,,,,,,,,,,,,,Subject Line/Header
,,,,,,,,,,,,,,,,,,,Pros,Cons
,,,,,,,,,,,,,,,,,,,1,1
,,,,,,,,,,,,,,,,,,,2,2
,,,,,,,,,,,,,,,,,,,3,3
,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,"In Summary, this is why we think this is a long term positive ..."
